class[public ] should beExtendBy class(packagename ¡°packageIdentifier¡±),Public classes should be extended by classes in package 'packageIdentifier'.,Public class extended by packageIdentifier.,A public class should only be extended by classes within the specified package.
class[static] should access class(packagename ¡°packageIdentifier¡±),Static classes should access classes in package 'packageIdentifier'.,Static class accesses packageIdentifier.,A static class should only access classes within the specified package.
class[interface public] should implement class(match ¡°myclass¡±),Public interface classes should implement classes matching 'myclass'.,Public interface implements myclass.,"A public interface should implement a class matching the name myclass""."""
class[public(packagename ¡°packageIdentifier¡±)] should dependOn class(match ¡°myclass¡±),Public classes in package 'packageIdentifier' should depend on classes matching 'myclass'.,Public class in packageIdentifier depends on myclass.,"A public class in the specified package should depend on a class matching myclass""."""
class[(implement ¡°typeName¡±)] should beExtendedBy class(match ¡°className¡±),Classes implementing 'typeName' should be extended by classes matching 'className'.,Class implementing typeName extended by className.,"A class implementing typeName"" should be extended by a class matching ""className""."""
class[(implement ¡°typeName¡±)] should not implement class(match ¡°className¡±),Classes implementing 'typeName' should not implement classes matching 'className'.,Class implementing typeName does not implement className.,"A class implementing typeName"" should not implement a class matching ""className""."""
class[public(implement ¡°typeName¡±)] should not access class(annotate ¡°annotationTypeName¡±),Public classes implementing 'typeName' should not access classes annotated with 'annotationTypeName'.,Public class implementing typeName does not access annotationTypeName.,"A public class implementing typeName"" should not access a class annotated with ""annotationTypeName""."""
class[(implement ¡°typeName¡±)] should access class(packagename ¡°packageIdentifier1¡±),Classes implementing 'typeName' should access classes in package 'packageIdentifier1'.,Class implementing typeName accesses packageIdentifier1.,"A class implementing typeName"" should access a class within the specified package."""
class[inner (packagename ¡°packageIdentifier¡±)] should not implement class[match ¡°className¡±],Inner classes in package 'packageIdentifier' should not implement classes matching 'className'.,Inner class in packageIdentifier does not implement className.,"An inner class in the specified package should not implement a class matching className""."""
class[public] should dependOn class(packagename ¡°packageIdentifier¡±),Public classes should depend on classes in package 'packageIdentifier'.,Public class depends on packageIdentifier.,A public class should depend on a class within the specified package.
class[public] should not beExtendBy class[private],Public classes should not be extended by private classes.,Public class not extended by private class.,A public class should not be extended by a private class.
class[public] should not access class[private],Public classes should not access private classes.,Public class does not access private class.,A public class should not access a private class.
class[final] should not implement class[final],Final classes should not implement final classes.,Final class does not implement final class.,A final class should not implement another final class.
class[local] should not dependOn class[local],Local classes should not depend on local classes.,Local class does not depend on local class.,A local class should not depend on another local class.
class[interface] should not implement class[static],Interface classes should not implement static classes.,Interface does not implement static class.,An interface should not implement a static class.
class[topLevel] should not implement class[private],Top-level classes should not implement private classes.,Top-level class does not implement private class.,A top-level class should not implement a private class.
class[protected] should implement class[private (packagename ¡°packageIdentifier1¡±)],Protected classes should implement private classes in package 'packageIdentifier1'.,Protected class implements private class in packageIdentifier1.,A protected class should implement a private class in the specified package.
class[public] should beAccessedBy class[static(match ¡°className¡±)],Public classes should be accessed by static classes matching 'className'.,Public class accessed by static className.,"A public class should be accessed by a static class matching className""."""
class[protected] should not implement class[private],Protected classes should not implement private classes.,Protected class does not implement private class.,A protected class should not implement a private class.
class[packagePrivate] should not access method[private],Package-private classes should not access private methods.,Package-private class does not access private method.,A package-private class should not access a private method.
class[public] should haveNameMatching(¡°classname¡±),Public classes should have names matching 'classname'.,Public class name matches classname.,"A public class should have a name matching classname""."""
class[public] should not beAssignableTo(¡°typeName¡±),Public classes should not be assignable to 'typeName'.,Public class not assignable to typeName.,A public class should not be assignable to the specified type.
class[public] should not haveParameterTypes(¡°typeName¡±),Public classes should not have parameter types of 'typeName'.,Public class does not have parameter types typeName.,"A public class should not have parameter types matching typeName""."""
class[public] should not haveFullNameMatching(¡°regex¡±),Public classes should not have full names matching the regex.,Public class full name does not match regex.,A public class should not have a full name matching the specified regex.
class[public] should haveReturnType(¡°typeName¡±),Public classes should have a return type of 'typeName'.,Public class has return type typeName.,"A public class should have a return type matching typeName""."""
class[public] should haveNameContaining(¡°regex¡±),Public classes should have names containing the regex.,Public class name contains regex.,A public class should have a name containing the specified regex.
class[public] should not haveNameEndingWith(¡°regex¡±),Public classes should not have names ending with the regex.,Public class name does not end with regex.,A public class should not have a name ending with the specified regex.
class[private] should haveNameStartingWith(¡°regex¡±),Private classes should have names starting with the regex.,Private class name matchs with regex.,A private class should have a name starting with the specified regex.
class[protected] should declareThrowableOfType(¡°typeName¡±),Protected classes should declare throwable types of 'typeName'.,Protected class declares throwable typeName.,A protected class should declare a throwable of the specified type.
class[packagePrivate] should not beAnnotatedWith(¡°annotationTypeName¡±),Package-private classes should not be annotated with 'annotationTypeName'.,Package-private class not annotated with annotationTypeName.,A package-private class should not be annotated with the specified annotation type.
class[static] should BePublic.,Static classes should be public.,Static class is public.,A static class should be public.
class[anonymous] should BePublic.,Anonymous classes should be public.,Anonymous class is public.,An anonymous class should be public.
class[public] should BeProtected.,Public classes should be protected.,Public class is protected.,A public class should be protected.
class[public] should BeAbstract.,Public classes should be abstract.,Public class is abstract.,A public class should be abstract.
class[anonymous] should BeEnums.,Anonymous classes should be enums.,Anonymous class is enum.,An anonymous class should be an enum.
