codeUnit [public] should declaredIn class (packagename ¡°packageIdentifier¡±),Public code units should be declared in classes in package 'packageIdentifier'.,Public code unit in packageIdentifier.,
codeUnit [private] should declaredIn class(implement ¡°typeName¡±),Private code units should be declared in classes implementing 'typeName'.,Private code unit in class implementing typeName.,
codeUnit [protected] should declaredIn class (packagename ¡°packageIdentifier¡±),Protected code units should be declared in classes in package 'packageIdentifier'.,Protected code unit in packageIdentifier.,
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private code units should not be declared in classes in package 'packageIdentifier'.,Private code unit not in packageIdentifier.,
codeUnit [packagePrivate] should declaredIn class (packagename ¡°packageIdentifier¡±),Package-private code units should be declared in classes in package 'packageIdentifier'.,Package-private code unit in packageIdentifier.,
codeUnit [public(haveNameMatching ¡°Regex¡±)] should declaredIn class (packagename ¡°packageIdentifier¡±),Public code units with names matching with 'Regex' should be declared in classes in package 'packageIdentifier'.,"Public code unit matching with Regex"" in packageIdentifier.""",A public codeUnit should be declared in a class within the specified package.
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private code units should not be declared in classes in package 'packageIdentifier'.,Private code unit not in packageIdentifier.,A private codeUnit should be declared in a class implementing the specified type.
codeUnit [public (packagename ¡°packageIdentifier1¡±)] should declaredIn class (packagename ¡°packageIdentifier2¡±),Public code units in package 'packageIdentifier1' should be declared in classes in package 'packageIdentifier2'.,Public code unit from packageIdentifier1 in packageIdentifier2.,A protected codeUnit should be declared in a class within the specified package.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class (implement ¡°typeName¡±),Code units with names matching with 'Regex' should be declared in classes implementing 'typeName'.,"Code unit matching with Regex"" in class implementing typeName.""",A private codeUnit should not be declared in a class within the specified package.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class (packagename ¡°packageIdentifier¡±),Code units with names matching with 'Regex' should be declared in classes in package 'packageIdentifier'.,"Code unit matching with Regex"" in packageIdentifier.""",A package-private codeUnit should be declared in a class within the specified package.
codeUnit [public] should declaredIn class [public],Public code units should be declared in public classes.,Public code unit in public class.,A public codeUnit with a name matching the specified regex should be declared in a class within the specified package.
codeUnit [private] should declaredIn class[static],Private code units should be declared in static classes.,Private code unit in static class.,A private codeUnit should not be declared in a class within the specified package.
codeUnit [protected] should declaredIn class[protected],Protected code units should be declared in protected classes.,Protected code unit in protected class.,A public codeUnit in the specified package should be declared in a class within another specified package.
codeUnit [private] should not declaredIn class [packagePrivate],Private code units should not be declared in package-private classes.,Private code unit not in package-private class.,A codeUnit with a name matching the specified regex should be declared in a class implementing the specified type.
