constructor [public] should declaredIn class (packagename ¡°packageIdentifier¡±),Public constructors should be declared in classes in package 'packageIdentifier'.,Public constructor in packageIdentifier.,A public constructor should be declared in a class within the specified package.
constructor [private] should declaredIn class(implement ¡°typeName¡±),Private constructors should be declared in classes implementing 'typeName'.,Private constructor in class implementing typeName.,A private constructor should be declared in a class implementing the specified type.
constructor [protected] should declaredIn class (packagename ¡°packageIdentifier¡±),Protected constructors should be declared in classes in package 'packageIdentifier'.,Protected constructor in packageIdentifier.,A protected constructor should be declared in a class within the specified package.
constructor [private] should declaredIn class (packagename ¡°packageIdentifier¡±),Private constructors should be declared in classes in package 'packageIdentifier'.,Private constructor in packageIdentifier.,A private constructor should be declared in a class within the specified package.
constructor [packagePrivate] should declaredIn class (packagename ¡°packageIdentifier¡±),Package-private constructors should be declared in classes in package 'packageIdentifier'.,Package-private constructor in packageIdentifier.,A package-private constructor should be declared in a class within the specified package.
constructor [public(haveNameMatching ¡°get¡±)] should declaredIn class (packagename ¡°packageIdentifier¡±),Public constructors with names matching with 'get' should be declared in classes in package 'packageIdentifier'.,"Public constructor matching with get"" in packageIdentifier.""","A public constructor with a name matching ""get"" should be declared in a class within the specified package."
constructor [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private constructors should not be declared in classes in package 'packageIdentifier'.,Private constructor not in packageIdentifier.,A private constructor should not be declared in a class within the specified package.
constructor [public (packagename ¡°packageIdentifier1¡±)] should declaredIn class (packagename ¡°packageIdentifier2¡±),Public constructors in package 'packageIdentifier1' should be declared in classes in package 'packageIdentifier2'.,Public constructor from packageIdentifier1 in packageIdentifier2.,A public constructor in the specified package should be declared in a class within another specified package.
constructor [(haveNamematching ¡°regex¡±)] should declaredIn class (implement ¡°typeName¡±),Constructors with names matching with 'regex' should be declared in classes implementing 'typeName'.,Constructor matching with regex in class implementing typeName.,A constructor with a name matching the specified regex should be declared in a class implementing the specified type.
constructor [(haveNamematching ¡°regex¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Constructors with names matching with 'regex' should be declared in classes in package 'packageIdentifier1'.,Constructor matching with regex in packageIdentifier1.,A constructor with a name matching the specified regex should be declared in a class within the specified package.
constructor [public] should declaredIn class [public],Public constructors should be declared in public classes.,Public constructor in public class.,A public constructor should be declared in a public class.
constructor [private] should declaredIn class[static],Private constructors should be declared in static classes.,Private constructor in static class.,A private constructor should be declared in a static class.
constructor [protected] should declaredIn class[protected],Protected constructors should be declared in protected classes.,Protected constructor in protected class.,A protected constructor should be declared in a protected class.
constructor [private] should not declaredIn class [packagePrivate],Private constructors should not be declared in package-private classes.,Private constructor not in package-private class.,A private constructor should not be declared in a package-private class.
constructor [packagePrivate] should declaredIn class [final],Package-private constructors should be declared in final classes.,Package-private constructor in final class.,A package-private constructor should be declared in a final class.
constructor [public(haveNameMatching ¡°get¡±)] should declaredIn class [private],Public constructors with names matching with 'get' should be declared in private classes.,"Public constructor matching with get"" in private class.""","A public constructor with a name matching ""get"" should be declared in a private class."
constructor [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private constructors should not be declared in classes in package 'packageIdentifier'.,Private constructor not in packageIdentifier.,A private constructor should not be declared in a class within the specified package.
