Method [public] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Public methods should not be declared in classes in package 'packageIdentifier1'.,Public method not in packageIdentifier1.,A public method should not be declared in a class within the specified package.
method[private] should declaredIn class(implement ¡°typeName1¡±),Private methods should be declared in classes implementing 'typeName1'.,Private method in class implementing typeName1.,A private method should be declared in a class implementing the specified type.
method[protected] should declaredIn class (packagename ¡°packageIdentifier1¡±),Protected methods should be declared in classes in package 'packageIdentifier1'.,Protected method in packageIdentifier1.,A protected method should be declared in a class within the specified package.
Method [final] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Final methods should not be declared in classes in package 'packageIdentifier1'.,Final method not in packageIdentifier1.,A final method should not be declared in a class within the specified package.
method[packagePrivate] should declaredIn class (packagename ¡°packageIdentifier1¡±),Package-private methods should be declared in classes in package 'packageIdentifier1'.,Package-private method in packageIdentifier1.,A package-private method should be declared in a class within the specified package.
method[public(haveNameMatching ¡°get¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Public methods with names matching with 'get' should be declared in classes in package 'packageIdentifier1'.,"Public method matching with get"" in packageIdentifier1.""","A public method with a name matching get"" should be declared in a class within the specified package."""
method[private final] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Private final methods should not be declared in classes in package 'packageIdentifier1'.,Private final method not in packageIdentifier1.,A private final method should not be declared in a class within the specified package.
method[public static(packagename ¡°packageIdentifier2¡±)] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Public static methods in package 'packageIdentifier2' should not be declared in classes in package 'packageIdentifier1'.,Public static method from packageIdentifier2 not in packageIdentifier1.,A public static method in the specified package should not be declared in a class within another specified package.
method[public static (haveNameMatching ¡°X1¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Public static methods with names matching with 'X1' should be declared in classes in package 'packageIdentifier1'.,"Public static method matching with X1"" in packageIdentifier1.""","A public static method with a name matching X1"" should be declared in a class within the specified package."""
method[protected final (haveNameMatching ¡°X1¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Protected final methods with names matching with 'X1' should be declared in classes in package 'packageIdentifier1'.,"Protected final method matching with X1"" in packageIdentifier1.""","A protected final method with a name matching X1"" should be declared in a class within the specified package."""
