DSL,API,Attempts
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"interface [public] should implement class[""myclass""];","interfaces().that().arePublic().should().ImplementClasse(""myclass"")",2
Trains Failed,Trains Failed,Trains Failed
"class [implement ""typeName""] should beExtendedBy class [""className""];","classes().that().implement(""typeName"").should().onlyBeExtendedByClasse(""className"")",0
"class [implement ""typeName""] should not implement class [classname ""className""];","classes().that().implement(""typeName"").should().notImplementClassesThat().haveNameMatching(""className"")",0
"class [public implement ""typeName""] should not beAnnotatedWith ""annotationTypeName"";","classes().that().arePublic().and().implement(""typeName"").should().notBeAnnotatedWith(""annotationTypeName"")",0
Trains Failed,Trains Failed,Trains Failed
"class [inner (packagename ""packageIdentifier"")] should not implement ""className"";","classes().that().areInnerClasses().and().resideInAPackage(""packageIdentifier"").should().notImplement(""className"")",3
Trains Failed,Trains Failed,Trains Failed
class [public] should not beExtendedBy class[private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private];,classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class [final] should not implement class[final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
Trains Failed,Trains Failed,Trains Failed
class [topLevel] should not implement class [private];,classes().that().areTopLevelClasses().should().notImplementClassesThat().arePrivate(),0
"class [protected] should implement class [private (packagename ""packageIdentifier1"")];","classes().that().areProtected().should().ImplementClassesThat().arePrivate().andShould().ImplementClassesThat().resideInAPackage(""packageIdentifier1"")",0
class [public] should beAccessedBy class [static];,classes().that().arePublic().should().BeAccessedByClassesThat().areStatic(),2
class [protected] should not implement class [private];,classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
class [packagePrivate] should not access method[private];,classes().that().arePackagePrivate().should().notBeAccesseMethodsThat().arePrivate(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""typeName"");","classes().that().arePublic().should().notBeAssignableTo(""typeName"")",0
"class [public] should not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
"class [public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameContaining(""regex"");","classes().that().arePublic().should().haveNameContaining(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"class [private] should haveNameMatching(""regex"");","classes().that().arePrivate().should().haveNameMatching(""regex"")",0
"class [protected] should declareThrowableOfType(""typeName"");","classes().that().areProtected().should().declareThrowableOfType(""typeName"")",0
"class [packagePrivate] should not beAnnotatedWith(""annotationTypeName"");","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""annotationTypeName"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
"codeUnit [public (packagename ""packageIdentifier"")] should BePublic;","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePublic()",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [protected (packagename ""packageIdentifier"")] should BeProtected;","codeUnits().that().areProtected().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [(classname ""typeName"")] should haveNameMatching(""Regex"");","codeUnits().that().areDeclaredInClassesThat().haveNameMatching(""typeName"").should().haveNameMatching(""Regex"")",0
"codeUnit [(packagename ""packageIdentifier"")] should haveNameMatching(""Regex"");","codeUnits().that().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveNameMatching(""Regex"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
codeUnit [private] should not dependOn class [packagePrivate];,codeUnits().that().arePrivate().should().dependOnClassesThat().arePackagePrivate(),1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [static (classname ""packageIdentifier"")] should haveNameMatching(""Regex"");","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().haveNameMatching(""packageIdentifier"").should().haveNameMatching(""Regex"")",1
"codeUnit [private (annotate ""annotationTypeName"")] should beAnnotatedWith(""annotationTypeName"");","codeUnits().that().arePrivate().and().areAnnotatedWith(""annotationTypeName"").should().beAnnotatedWith(""annotationTypeName"")",1
"codeUnit [protected] should haveFullNameMatching(""regex"");","codeUnits().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [packagePrivate] should haveNameMatching(""regex"");","codeUnits().that().arePackagePrivate().should().haveNameMatching(""regex"")",0
"codeUnit [public] should haveNameEndingWith(""regex"");","codeUnits().that().arePublic().should().haveNameEndingWith(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public] should haveNameStartingWith(""regex"");","codeUnits().that().arePublic().should().haveNameStartingWith(""regex"")",0
"codeUnit [public] should haveRawReturnType(""typeName"");","codeUnits().that().arePublic().should().haveRawReturnType(""typeName"")",0
"codeUnit [private] should haveRawParameterTypes(""typeName"");","codeUnits().that().arePrivate().should().haveRawParameterTypes(""typeName"")",0
"codeUnit [private] should declareThrowableOfType(""typeName"");","codeUnits().that().arePrivate().should().declareThrowableOfType(""typeName"")",0
"codeUnit [static (packagename ""packageIdentifier"")] should BePublic;","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePublic()",0
"codeUnit [final (packagename ""packageIdentifier"")] should BePrivate;","codeUnits().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"codeUnit [private (packagename ""packageIdentifier"")] should BeProtected;","codeUnits().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
"codeUnit [public (packagename ""packageIdentifier"")] should BePackagePrivate;","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePackagePrivate()",0
"codeUnit [(match ""^/app"")] should BePublic;","codeUnits().that().haveNameMatching(""^/app"").should().bePublic()",0
