DSL,API,Attempts
"class [ public ] should beExtendedBy class [ ( packagename ""specified"" ) ];","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""specified"")",0
"class [static] should access class [(packagename ""specified"")];","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""specified"")",2
Trains Failed,Trains Failed,Trains Failed
"class [public (packagename ""specified"")] should dependOn class(match ""myclass"");","classes().that().arePublic().and().resideInAPackage(""specified"").should().dependOnClassesThat().haveNameMatching(""myclass"")",0
"class [implement ""typeName""] should beExtendedBy class(match ""className"");","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().haveNameMatching(""className"")",1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"class(implement ""typeName"") should access class[ (packagename ""..."") ];","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""..."")",0
Trains Failed,Trains Failed,Trains Failed
"class [public] should dependOn class [(packagename ""specified_package"")];","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""specified_package"")",3
class [public] should not beExtendedBy class[private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),4
class [public] should not access class[private];,classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class[final] should not implement class[final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class[local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
Trains Failed,Trains Failed,Trains Failed
class [topLevel] not implement class[private];,classes().that().areTopLevelClasses().should().notImplementClassesThat().arePrivate(),0
class[protected] should implement class[private];,classes().that().areProtected().should().ImplementClassesThat().arePrivate(),0
"class [public] should access class[static (haveNameMatching ""className"")];","classes().that().arePublic().should().accessClassesThat().areStatic().andShould().accessClassesThat().haveNameMatching(""className"")",2
class [protected] should not implement class [private];,classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
Trains Failed,Trains Failed,Trains Failed
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
class [public] should not BePublic;,classes().that().arePublic().should().notBePublic(),2
"class [public] should not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",4
class [public] should not haveFullNameMatching;,classes().that().arePublic().should().haveFullNameNotMatching(),0
"class[public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameContaining(""specified_regex"");","classes().that().arePublic().should().haveNameContaining(""specified_regex"")",0
"class [public] should not haveNameEndingWith(""regex"");","classes().that().arePublic().should().haveNameNotEndingWith(""regex"")",0
"class [private] should haveNameStartingWith(""specified_regex"");","classes().that().arePrivate().should().haveNameStartingWith(""specified_regex"")",0
"class [protected] should declareThrowableOfType(""specified type"");","classes().that().areProtected().should().declareThrowableOfType(""specified type"")",0
Trains Failed,Trains Failed,Trains Failed
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class[anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),1
"codeUnit[public] should declaredIn class (packagename ""specifiedPackage"");","codeUnits().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",2
"codeUnit [private] should declaredIn class (implement ""specified type"")","codeUnits().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specified type"")",0
"codeUnit [protected] should declaredIn class (packagename ""specified"");","codeUnits().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified"")",0
"codeUnit [private] should not declaredIn class (packagename ""specified package"")","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [packagePrivate (packagename ""specified"")] should declaredIn","codeUnits().that().arePackagePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specified"").should().beDeclaredIn()",3
"codeUnit[public (haveNameMatching ""regex"")] should declaredIn class (packagename ""package"")","codeUnits().that().arePublic().and().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""package"")",0
"codeUnit[private] should not declaredIn class[(packagename ""specified_package"")];","codeUnits().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified_package"")",1
Trains Failed,Trains Failed,Trains Failed
