DSL,API,Attempts
"class [public] should beExtendedBy class [(packagename ""specified package"")]","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""specified package"")",0
"class [static] should access class [(packagename ""specified package"")]","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""specified package"")",0
"interface [public] should implement class (haveNameMatching ""myclass"")","interfaces().that().arePublic().should().ImplementClassesThat().haveNameMatching(""myclass"")",0
Trains Failed,Trains Failed,Trains Failed
"class [implement ""typeName""] should beExtendedBy class [(match ""className"")]","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().haveNameMatching(""className"")",0
"class [implement ""typeName""] should not implement class (haveNameMatching ""className"")","classes().that().implement(""typeName"").should().notImplementClassesThat().haveNameMatching(""className"")",0
"class [public (implement ""typeName"")] should not access class [(annotate ""annotationTypeName"")]","classes().that().arePublic().and().implement(""typeName"").should().notBeAccesseClassesThat().areAnnotatedWith(""annotationTypeName"")",0
"class [implement ""typeName""] should access class [(packagename ""specified package"")]","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""specified package"")",0
"class [inner (packagename ""specified package"")] should not implement class [implement ""className""]","classes().that().areInnerClasses().and().resideInAPackage(""specified package"").should().notImplementClassesThat().implement(""className"")",0
"class [public] should dependOn class [(packagename ""specified package"")]","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""specified package"")",0
class [public] should not beExtendedBy class [private],classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private];,classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class [final] should not implement class [final],classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
interface [interface] should not implement class [static],interfaces().that().areInterfaces().should().notImplementClassesThat().areStatic(),0
class [topLevel] should not implement class [private],classes().that().areTopLevelClasses().should().notImplementClassesThat().arePrivate(),0
"class [protected] should implement class [private (packagename ""specified package"")]","classes().that().areProtected().should().ImplementClassesThat().arePrivate().andShould().ImplementClassesThat().resideInAPackage(""specified package"")",0
"class [public] should access class [static (haveNameMatching ""className"")]","classes().that().arePublic().should().accessClassesThat().areStatic().andShould().accessClassesThat().haveNameMatching(""className"")",0
class [protected] should not implement class [private],classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
class [packagePrivate] should not access method [private],classes().that().arePackagePrivate().should().notBeAccesseMethodsThat().arePrivate(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""specified type"");","classes().that().arePublic().should().notBeAssignableTo(""specified type"")",3
"class [public] should not haveParameterTypes(""typeName"")","classes().that().arePublic().should().no such no operator(""typeName"")",0
"class [public] should not haveFullNameMatching(""specified_regex"");","classes().that().arePublic().should().haveFullNameNotMatching(""specified_regex"")",0
"class [public] should haveRawReturnType(""typeName"")","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameMatching(""specified regex"");","classes().that().arePublic().should().haveNameMatching(""specified regex"")",0
"class [public] should not haveNameEndingWith(""specified regex"")","classes().that().arePublic().should().haveNameNotEndingWith(""specified regex"")",0
"class [private] should haveNameStartingWith(""specified regex"");","classes().that().arePrivate().should().haveNameStartingWith(""specified regex"")",1
"class [protected] should declareThrowableOfType(""specified type"")","classes().that().areProtected().should().declareThrowableOfType(""specified type"")",0
"class [packagePrivate] should not beAnnotatedWith(""specified annotation type"")","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""specified annotation type"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
"codeUnit [public] should dependOn class [(packagename ""specified package"")]","codeUnits().that().arePublic().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [private] should declaredIn class(implement ""specifiedType"");","codeUnits().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"codeUnit [protected] should dependOn class [(packagename ""specified package"")]","codeUnits().that().areProtected().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [private] should not dependOn class [(packagename ""specified package"")]","codeUnits().that().arePrivate().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [packagePrivate] should dependOn class [(packagename ""specified package"")]","codeUnits().that().arePackagePrivate().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public (packagename ""specifiedPackage"")] should dependOn class [(packagename ""anotherSpecifiedPackage"")]","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
codeUnit [public] should dependOn class [public],codeUnits().that().arePublic().should().dependOnClassesThat().arePublic(),0
codeUnit [private] should dependOn class [static],codeUnits().that().arePrivate().should().dependOnClassesThat().areStatic(),0
codeUnit [protected] should dependOn class[protected];,codeUnits().that().areProtected().should().dependOnClassesThat().areProtected(),0
codeUnit [private] should not dependOn class [packagePrivate],codeUnits().that().arePrivate().should().dependOnClassesThat().arePackagePrivate(),0
codeUnit [packagePrivate] should dependOn class [final],codeUnits().that().arePackagePrivate().should().dependOnClassesThat().areFinal(),0
"codeUnit [public (haveNameMatching ""get"")] should declaredIn class [private];","codeUnits().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",4
"codeUnit [private] should not dependOn class [(packagename ""specified package"")]","codeUnits().that().arePrivate().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [public (packagename ""specifiedPackage"")] should dependOn class [public (packagename ""anotherSpecifiedPackage"")]","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().dependOnClassesThat().arePublic().andShould().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should beAnnotatedWith(""specified annotation type"")","codeUnits().that().arePrivate().should().beAnnotatedWith(""specified annotation type"")",0
"codeUnit [protected] should haveFullNameMatching(""specified regex"")","codeUnits().that().areProtected().should().haveFullNameMatching(""specified regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [packagePrivate] should haveNameMatching(""specified regex"")","codeUnits().that().arePackagePrivate().should().haveNameMatching(""specified regex"")",0
"codeUnit [public] should haveNameEndingWith(""specified regex"")","codeUnits().that().arePublic().should().haveNameEndingWith(""specified regex"")",0
"codeUnit [private] should not dependOn class [(packagename ""specified package"")]","codeUnits().that().arePrivate().should().dependOnClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"codeUnit [public] should haveNameStartingWith(""specified_regex"");","codeUnits().that().arePublic().should().haveNameStartingWith(""specified_regex"")",1
"codeUnit [public] should haveRawReturnType(""specifiedType"")","codeUnits().that().arePublic().should().haveRawReturnType(""specifiedType"")",0
"codeUnit [private] should haveParameterTypes(""specified type"")","codeUnits().that().arePrivate().should().haveRawParameterTypes(""specified type"")",0
"codeUnit [private] should declareThrowableOfType(""specified type"")","codeUnits().that().arePrivate().should().declareThrowableOfType(""specified type"")",0
"codeUnit [static (packagename ""specifiedPackage"")] should BePublic;","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePublic()",0
"codeUnit [final (packagename ""specified package"")] should BePrivate;","codeUnits().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""specified package"").should().bePrivate()",1
"codeUnit [private (packagename ""specified package"")] should BeProtected;","codeUnits().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specified package"").should().beProtected()",0
"codeUnit [public (packagename ""specifiedpackage"")] should BePrivate;","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedpackage"").should().bePrivate()",0
Trains Failed,Trains Failed,Trains Failed
"constructor [public] should declaredIn class [(packagename ""specified package"")];","constructors().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
