 LLama3.3 70B,success,offset,failed,,,,,,
NL_1,200,2,8,,,,,,
NL_2,177,19,14,,,,,,
NL_3,125,26,59,,,,,,
,,,,,,,,,
DeepSeekR1 70B,success,offset,failed,,,,,,
NL_1,189,4,17,,,,,,
NL_2,177,17,16,,,,,,
NL_3,103,36,71,,,,,,
,,,,,,,,,
Qwen2.5 72B,Correct,Shifted,Failed,,,,,,
NL_1,197,9,4,,,,,,
NL_2,165,7,38,,,,,,
NL_3,98,22,90,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Measurements by different LLMs and NLs for RQ1,,,,,,,,,
,LLaMA3.3,,,DeepseekR1,,,Qwen2.5,,
,#Psucc,#Pgram-Error,# Psem-shift,#Psucc,#Pgram-Error,# Psem-shift,#Psucc,#Pgram-Error,# Psem-shift
NL_1,95.2,3.8,1,90,1.9,8.1,93.8,4.3,1.9
NL_2,84.2,6.8,9,84.3,8.1,7.6,78.6,3.3,18.1
NL_3,59.5,28,12.5,49,17.1,33.9,46.7,10.5,42.8


Results in different LLMs and NLs for RQ2,,,,,,,,,
,LLaMA3.3,,,Deepseek-R1,,,Qwen2.5,,
Domain def.,#Pfirst,#Pfinal,#Pdevelop,#Pfirst,#Pfinal,#Pdevelop,#Pfirst,#Pfinal,#Pdevelop
NL_1,92.4,95.2,2.8,73.3,90,16.7,92.4,93.8,1.4
NL_2,79.5,84.2,4.7,59.5,84.3,24.8,71.9,78.6,6.7
NL_3,42.9,59.5,16.6,28.1,49,20.9,42.4,46.7,4.3
