DSL,API,Attempts
"class [public] should beExtendedBy class [(packagename ""packageIdentifier"")];","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [static] should access class [(packagename ""packageIdentifier"")];","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""packageIdentifier"")",0
"interface [public] should implement class [match ""myclass""];","interfaces().that().arePublic().should().ImplementClassesThat().haveNameMatching("".*myclass.*"")",0
"class [public (packagename ""packageIdentifier"")] should dependOn class [match ""myclass""];","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().dependOnClassesThat().haveSimpleNameMatching("".*myclass.*"")",0
"class [implement ""typeName""] should beExtendedBy class[match ""className""];","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().haveSimpleNameMatching("".*className.*"")",0
"class [implement ""typeName""] should not implement class[match ""className""];","classes().that().implement(""typeName"").should().notImplementClassesThat().haveSimpleNameMatching("".*className.*"")",0
"class [public implement ""typeName""] should not beAnnotatedWith ""annotationTypeName"";","classes().that().arePublic().and().implement(""typeName"").should().notBeAnnotatedWith(""annotationTypeName"")",0
"class [implement ""typeName""] should access class [(packagename ""packageIdentifier1"")];","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""packageIdentifier1"")",0
"class [inner (packagename ""packageIdentifier"")] should not implement class [match ""className""];","classes().that().areInnerClasses().and().resideInAPackage(""packageIdentifier"").should().notImplementClassesThat().haveSimpleNameMatching("".*className.*"")",0
"class [public] should dependOn class [(packagename ""packageIdentifier"")];","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""packageIdentifier"")",0
class [public] should not beExtendedBy class[private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private];,noClasses().that().arePublic().should().accessClassesThat().arePrivate(),0
class [final] should not implement class [final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat()..haveModifier(JavaModifier.FINAL),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
class [interface] should not implement class [static];,classes().that().areInterfaces().should().notImplementClassesThat().haveModifier(JavaModifier.STATIC),0
class [topLevel] should not implement class [private];,classes().that().areTopLevelClasses().should().notImplementClassesThat().arePrivate(),0
"class [protected] should implement class [private (packagename ""packageIdentifier1"")];","classes().that().areProtected().should().ImplementClassesThat().arePrivate().andShould().ImplementClassesThat().resideInAPackage(""packageIdentifier1"")",0
"class [public] should access class [static (match ""className"")];","classes().that().arePublic().should().accessClassesThat().haveModifier(JavaModifier.STATIC).andShould().accessClassesThat().haveSimpleNameMatching("".*className.*"")",1
class [protected] should not implement class [private];,classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
class [packagePrivate] should not access method [private];,noClasses().that().arePackagePrivate().should().accessMethodsThat().arePrivate(),0
"class [public] should haveNameMatching""classname"";","classes().that().arePublic().should().haveSimpleNameMatching("".*classname.*"")",0
"class [public] should not beAssignableTo ""typeName"";","noClasses().that().arePublic().should().beAssignableTo(""typeName"")",0
"class [public] should not haveParameterTypes ""typeName"";",classes().that().arePublic().should().notHaveRawParameterTypes(typeName.class),0
"class [public] should not haveFullNameMatching""regex"";","classes().that().arePublic().should().haveFullNameNotMatching("".*regex.*"")",0
"class [public] should haveRawReturnType ""typeName"";","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameMatching""regex"";","classes().that().arePublic().should().haveSimpleNameMatching("".*regex.*"")",0
"class [public] should not haveNameEndingWith""regex"";","classes().that().arePublic().should().haveSimpleNameNotEndingWith(""regex"")",0
"class [private] should haveNameStartingWith""regex"";","classes().that().arePrivate().should().haveSimpleNameStartingWith(""regex"")",0
"class [protected] should declareThrowableOfType ""typeName"";","classes().that().areProtected().should().declareThrowableOfType(""typeName"")",0
"class [packagePrivate] should not beAnnotatedWith ""annotationTypeName"";","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""annotationTypeName"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
"method [public] should not declaredIn class (packagename ""packageIdentifier1"");","noMethods().that().arePublic().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [private] should declaredIn class (implement ""typeName1"");","methods().that().arePrivate().should().beDeclaredInClassesThat().implement(""typeName1"")",0
"method [protected] should declaredIn class (packagename ""packageIdentifier1"");","methods().that().areProtected().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [final] should not declaredIn class [(packagename ""packageIdentifier1"")] ;","noMethods().that().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [packagePrivate (packagename ""packageIdentifier1"")] should declaredIn class [(packagename ""packageIdentifier1"")];","methods().that().arePackagePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",1
