Archunit,,,,,,,,,
ruleset,TN,TP,BenchMark - C ,BenchMark - NC  ,FN ,FP,Precision,Recall,F1 Score
apache-ant-1.8.4,192,453,202,510,57,10,0.978401728,0.888235294,0.931140802
caster-1.3.1,581,629,637,630,1,56,0.918248175,0.998412698,0.956653992
displaytag-1.2,559,34,559,47,13,0,1,0.723404255,0.839506173
freecs-1.3.20100406,729,9,729,13,4,0,1,0.692307692,0.818181818
javacc-5.0,16,16,16,16,0,0,1,1,1
junit-4.11,793,881,801,883,2,8,0.991001125,0.997734994,0.994356659
Archunit-junit4,181,94,184,105,3,11,0.895238095,0.969072165,0.930693069
Archunit-junit5,104,169,106,171,2,2,0.988304094,0.988304094,0.988304094
Archunit-plain,110,124,112,126,2,2,0.984126984,0.984126984,0.984126984
avg,,,,,,,0.972813356,0.915733131,0.938107066
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
JArctitect,,,,,,,,,
ruleset,TN,TP,BenchMark - C,BenchMark - NC,FN,FP,Precision,Recall,F1 Score
apache-ant-1.8.4,30,111,202,510,399,172,0.392226148,0.217647059,0.279949559
caster-1.3.1,85,9,637,630,621,552,0.016042781,0.014285714,0.01511335
displaytag-1.2,0,15,559,47,32,559,0.026132404,0.319148936,0.048309179
freecs-1.3.20100406,0,6,729,13,7,729,0.008163265,0.461538462,0.016042781
javacc-5.0,13,4,16,16,12,3,0.571428571,0.25,0.347826087
junit-4.11,38,30,801,883,853,763,0.037831021,0.033975085,0.035799523
Archunit-junit4,10,22,184,105,83,174,0.112244898,0.20952381,0.146179402
Archunit-junit5,7,6,106,171,165,99,0.057142857,0.035087719,0.043478261
Archunit-plain,7,6,112,126,120,105,0.054054054,0.047619048,0.050632911
avg,,,,,,,0.141696222,0.176536204,0.109259006
,,,,,,,,,
AutoArC,,,,,,,,,
ruleset,TN,TP,BenchMark - C,BenchMark - NC,FN ,FP,Precision,Recall,F1 Score
apache-ant-1.8.4,11,453,202,510,57,191,0.703416149,0.888235294,0.785095321
caster-1.3.1,581,622,637,630,8,56,0.91740413,0.987301587,0.951070336
displaytag-1.2,559,34,559,47,13,0,1,0.723404255,0.839506173
freecs-1.3.20100406,729,9,729,13,4,0,1,0.692307692,0.818181818
javacc-5.0,10,12,16,16,4,6,0.666666667,0.75,0.705882353
junit-4.11,797,881,801,883,2,4,0.995480226,0.997734994,0.996606335
Archunit-junit4,181,98,184,105,7,3,0.97029703,0.933333333,0.951456311
Archunit-junit5,104,169,106,171,2,2,0.988304094,0.988304094,0.988304094
Archunit-plain,110,124,112,126,2,2,0.984126984,0.984126984,0.984126984
avg,,,,,,,0.913966142,0.882749804,0.891136636
