DaoRule1,"Classes that have name matching  ""Build"" should reside in a package ""..builder..""."
DaoRule3,"classes that  in ""..model.."" package should access Classes that are Assignable to ""EntityManager.class"""
FrozenRule1,classes that are public should only depend on classes that are public.
FrozenRule2,"classes that are public  should not depend on classes that are assignable to ""EntityManager""."
LayerDependencyRule1,"Classes that  in the ""..loader.."" package should not be interfaces."
LayerDependencyRule2,"Classes residing in the ""..loader.."" package should not access any classes in the ""..handlers.."" package."
LayerDependencyRule3,"Classes in the ""..service.."" package should only be accessed by classes in the ""..controller.."" or ""..service.."" packages"
LayerDependencyRule4,"Classes in the ""..model.."" package should  access classes that  in ""..util.."" package."
LayerDependencyRule5,"Classes in the ""..core.."" package should not depend  on classes in the ""..util.."" package"
LayerDependencyRule7,"Classes in the ""..layout.."" package should only have dependent classes in the ""..layout.."" package."
LayerDependencyRule8,"Classes in the ""..interface.."" package should only depend on classes in ""..interface.."" packages "
PackageDependencyRule1,"classes that  In  ""..matchers.."" package shoud not depend on classses that  in package ""..model.."""
PackageDependencyRule2,"classes that  In package ""..experimental.."" shoud only depend on classses that  in package ""..results.."""
ClassDependencyRule1,"classes that have name matching  ""Method"" should only depend on classes that in a package ""..runner..""."
ClassPackageDependencyRule1,"Classes that have name matching  ""ClassRequest"" should reside in a package ""..runner..""."
