1,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Class <packageIdentifier.MyClass> extends class <java.lang.Object> in (MyClass.java:0),MyClass.java,MEDIUM
2,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Method <packageIdentifier.MyClass.doSomething()> gets field <java.lang.System.out> in (MyClass.java:5),)> gets field <java.lang.System.out> in (MyClass.java,MEDIUM
3,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Constructor <packageIdentifier.MyClass.<init>()> calls constructor <java.lang.Object.<init>()> in (MyClass.java:3),)> calls constructor <java.lang.Object.<init>()> in (MyClass.java,MEDIUM
4,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Method <packageIdentifier.MyClass.doSomething()> calls method <java.io.PrintStream.println(java.lang.String)> in (MyClass.java:5),)> calls method <java.io.PrintStream.println(java.lang.String)> in (MyClass.java,MEDIUM
5,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Constructor <packageIdentifier.InvalidClass.<init>()> calls constructor <java.lang.Object.<init>()> in (InvalidClass.java:8),)> calls constructor <java.lang.Object.<init>()> in (InvalidClass.java,MEDIUM
6,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Constructor <packageIdentifier.InvalidClass.<init>()> calls constructor <otherpackage.OtherClass.<init>()> in (InvalidClass.java:9),)> calls constructor <otherpackage.OtherClass.<init>()> in (InvalidClass.java,MEDIUM
7,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Field <packageIdentifier.InvalidClass.dependency> has type <otherpackage.OtherClass> in (InvalidClass.java:0),InvalidClass.java,MEDIUM
8,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Class <packageIdentifier.InvalidClass> extends class <java.lang.Object> in (InvalidClass.java:0),InvalidClass.java,MEDIUM
9,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Method <packageIdentifier.InvalidClass.execute()> calls method <otherpackage.OtherClass.help()> in (InvalidClass.java:13),)> calls method <otherpackage.OtherClass.help()> in (InvalidClass.java,MEDIUM
10,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Field <packageIdentifier.ValidClass.dependency> has type <packageIdentifier.MyClass> in (ValidClass.java:0),ValidClass.java,MEDIUM
11,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Constructor <packageIdentifier.ValidClass.<init>()> calls constructor <java.lang.Object.<init>()> in (ValidClass.java:6),)> calls constructor <java.lang.Object.<init>()> in (ValidClass.java,MEDIUM
12,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Class <packageIdentifier.ValidClass> extends class <java.lang.Object> in (ValidClass.java:0),ValidClass.java,MEDIUM
13,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Method <packageIdentifier.ValidClass.execute()> calls method <packageIdentifier.MyClass.doSomething()> in (ValidClass.java:11),)> calls method <packageIdentifier.MyClass.doSomething()> in (ValidClass.java,MEDIUM
14,classes that are public and reside in a package 'packageIdentifier' should depend on classes that have name matching '.*myclass$',Constructor <packageIdentifier.ValidClass.<init>()> calls constructor <packageIdentifier.MyClass.<init>()> in (ValidClass.java:7),)> calls constructor <packageIdentifier.MyClass.<init>()> in (ValidClass.java,MEDIUM
