classRule1,"Public classes should not be extended by classes in ""packageIdentifier"""
classRule2,"Static classes should access classes in ""packageIdentifier"""
classRule3,"Public interface classes should depend on classes with names matching ""myclass"""
classRule4,"Public classes in ""packageIdentifier"" should depend on classes with names matching ""myclass"""
classRule5,"Classes implementing ""packageIdentifier.TypeName"" should be extended by classes matching ""myclass"""
classRule6,"Classes implementing ""packageIdentifier.typeName"" should only depend on classes with names matching ""myclass"""
classRule7,"Public classes implementing ""packageIdentifier.typeName"" should only depend on ""myclass""-named classes"
classRule8,"Classes implementing ""packageIdentifier.typeName"" should access classes in ""packageIdentifier"""
classRule9,"Inner classes in ""packageIdentifier"" should access classes with names matching ""myclass"""
classRule10,"Public classes should depend on classes in""packageIdentifier"""
classRule11,Public classes should not be extended by other public classes.
classRule12,"Protected classes with names matching ""my"" should not be accessed by public classes."""
classRule13,Package-private classes should not be extended by public classes.
classRule14,Local classes should not depend on other local classes.
classRule15,Interface classes should only depend on static classes.
classRule16,Top-level classes should only access protected classes.
classRule17,"Protected classes should access private classes in""packageIdentifier"""
classRule18,"Public classes should access static classes with names matching ""Myclass"""
classRule19,Protected classes should not access public classes.
classRule20,Package-private classes should only be extended by public classes.
classRule21,"Public classes should have names matching ""myclass"""
classRule22,"Public classes should not be assignable to""packageIdentifier.typeName"""
classRule23,"Public classes should not be assignable from""packageIdentifier.typeName"""
classRule24,"Public classes should not have  names matching""Regex"""
classRule25,"Public classes should have names starting with""Regex"""
classRule26,"Public classes should have names containing""Regex"""
classRule27,"Public classes should not have names ending with""Regex"""
classRule28,"Private classes should have names starting with""Regex"""
classRule29,"Protected classes should be assignable to""packageIdentifier.typeName"""
classRule30,"Package-private classes should not be annotated with""packageIdentifier.annotationTypeName"""
classRule31,Static classes should be public.
classRule32,Nested classes should be public.
classRule33,Public classes should be inner classes.
classRule34,Public classes should be local classes.
classRule35,Non-public classes should be enums.
methodRule1,"Public methods should not be declared in classes within""packageIdentifier1"""
methodRule2,"Private methods should be declared in classes implementing ""mypackage.typeName1"""
methodRule3,"Protected methods should be declared in classes within""packageIdentifier1"""
methodRule4,"Final methods should not be declared in classes within""packageIdentifier1"""
methodRule5,"Package-private methods should be declared in classes within""packageIdentifier1"""
methodRule6,"Public methods with names matching""get"" should be declared in classes in ""packageIdentifier1"""
methodRule7,"Private final methods should not be declared in classes within""packageIdentifier1"""
methodRule8,"Public static methods in ""packageIdentifier1"" should not be declared in ""packageIdentifier1"" classes."
methodRule9,"Public static methods with names matching """"X1"" should be declared in ""packageIdentifier1"" classes."
methodRule10,"Protected final methods with names matching  ""X1"" should be declared in ""packageIdentifier1"" classes."
methodRule11,Public methods should be declared in public classes.
methodRule12,Private methods should be declared in private classes.
methodRule13,Protected methods should be declared in protected classes.
methodRule14,Final methods should not be declared in final classes.
methodRule15,Package-private methods should be declared in package-private classes.
methodRule16,"Public methods with names matching ""get"" should be declared in final classes."
methodRule17,Private final methods should be declared in package-private classes.
methodRule18,"Public static methods in""packageIdentifier"" should not be declared in public static classes."""
methodRule19,"Public static methods with names matching""regex"" should be declared in public classes within ""packageIdentifier1"""
methodRule20,"Protected final methods with names matching ""X1"" should be declared in static classes within ""packageIdentifier1"""
methodRule21,"Public methods should be annotated with ""mypackage.SpecifiedAnnotation"""
methodRule22,"Public methods should have parameter types of ""String"""
methodRule23,"Protected methods should have parameter types of ""int"""
methodRule24,"Final methods should have full names matching ""String"""
methodRule25,"Package-private methods should have names ending with ""String"""
methodRule26,"Public methods with names matching ""get"" should have names matching ""String"""
methodRule27,"Private final methods should have raw return type ""java.lang.String"""
methodRule28,"Public static methods in""packageIdentifier"" should have parameter types ""packageIdentifier.CustomType"""
methodRule29,"Public static methods with names matching""String1"" should have full name ""packageIdentifier.ValidMethod.String1()"""
methodRule30,"Protected final methods with names matching""do.*Action"" should have names containing ""Log"""
methodRule31,Static methods should be public.
methodRule32,Final methods should be static.
methodRule33,Private methods should be protected.
methodRule34,"Public methods in""X1"" should be package-private."
methodRule35,"Methods with names matching  ""get"" should be public."
